SPECTRAL MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.5_2_620-630,06/12/2023,09:18:49

OSA_INST,OSA_SN,OS_CTRWL,OSA_SPAN,OSA_STARTWL,OSA_ENDWL,OSA_PTS,OSA_RES,OSA_AVE,OSA_SENSMODE
YOKOGAWA AQ6370,91G312892,625.000,10.0,620.000,630.000,1001,0.020,1,SENS HIGH2
Data grabbed from OSA via LDCS WL menu

Wavelength (nm), Power (kW)
622.2200000000,0.0000000000
622.2300000000,0.0000000000
622.2400000000,0.0000000825
622.2500000000,0.0000001692
622.2600000000,0.0000000000
622.2700000000,0.0000000000
622.2800000000,0.0000001707
622.2900000000,0.0000000409
622.3000000000,0.0000000000
622.3100000000,0.0000000000
622.3200000000,0.0000000000
622.3300000000,0.0000000000
622.3400000000,0.0000000000
622.3500000000,0.0000000000
622.3600000000,0.0000000000
622.3700000000,0.0000000763
622.3800000000,0.0000001968
622.3900000000,0.0000000000
622.4000000000,0.0000000000
622.4100000000,0.0000000000
622.4200000000,0.0000000000
622.4300000000,0.0000000000
622.4400000000,0.0000000000
622.4500000000,0.0000000000
622.4600000000,0.0000000000
622.4700000000,0.0000000000
622.4800000000,0.0000000000
622.4900000000,0.0000000493
622.5000000000,0.0000000000
622.5100000000,0.0000000000
622.5200000000,0.0000000000
622.5300000000,0.0000000276
622.5400000000,0.0000000000
622.5500000000,0.0000000407
622.5600000000,0.0000000219
622.5700000000,0.0000000000
622.5800000000,0.0000000000
622.5900000000,0.0000000000
622.6000000000,0.0000000000
622.6100000000,0.0000000000
622.6200000000,0.0000000000
622.6300000000,0.0000000000
622.6400000000,0.0000000254
622.6500000000,0.0000000000
622.6600000000,0.0000000000
622.6700000000,0.0000000000
622.6800000000,0.0000000000
622.6900000000,0.0000000000
622.7000000000,0.0000000681
622.7100000000,0.0000002859
622.7200000000,0.0000000000
622.7300000000,0.0000001138
622.7400000000,0.0000000000
622.7500000000,0.0000001617
622.7600000000,0.0000000000
622.7700000000,0.0000000000
622.7800000000,0.0000000000
622.7900000000,0.0000000000
622.8000000000,0.0000000414
622.8100000000,0.0000000296
622.8200000000,0.0000000000
622.8300000000,0.0000000675
622.8400000000,0.0000001406
622.8500000000,0.0000000362
622.8600000000,0.0000000000
622.8700000000,0.0000000432
622.8800000000,0.0000000559
622.8900000000,0.0000003507
622.9000000000,0.0000000000
622.9100000000,0.0000000000
622.9200000000,0.0000000537
622.9300000000,0.0000001946
622.9400000000,0.0000000475
622.9500000000,0.0000000000
622.9600000000,0.0000000000
622.9700000000,0.0000001166
622.9800000000,0.0000000000
622.9900000000,0.0000000000
623.0000000000,0.0000001524
623.0100000000,0.0000000457
623.0200000000,0.0000001739
623.0300000000,0.0000000496
623.0400000000,0.0000000329
623.0500000000,0.0000000131
623.0600000000,0.0000000000
623.0700000000,0.0000000000
623.0800000000,0.0000000000
623.0900000000,0.0000000000
623.1000000000,0.0000000000
623.1100000000,0.0000000000
623.1200000000,0.0000000356
623.1300000000,0.0000000000
623.1400000000,0.0000000000
623.1500000000,0.0000000000
623.1600000000,0.0000000000
623.1700000000,0.0000000000
623.1800000000,0.0000001281
623.1900000000,0.0000001232
623.2000000000,0.0000000084
623.2100000000,0.0000000000
623.2200000000,0.0000000223
623.2300000000,0.0000000000
623.2400000000,0.0000000000
623.2500000000,0.0000000606
623.2600000000,0.0000002298
623.2700000000,0.0000002935
623.2800000000,0.0000002329
623.2900000000,0.0000008238
623.3000000000,0.0000005807
623.3100000000,0.0000006018
623.3200000000,0.0000006086
623.3300000000,0.0000006950
623.3400000000,0.0000007543
623.3500000000,0.0000006582
623.3600000000,0.0000005578
623.3700000000,0.0000004354
623.3800000000,0.0000005736
623.3900000000,0.0000004380
623.4000000000,0.0000004796
623.4100000000,0.0000007290
623.4200000000,0.0000005887
623.4300000000,0.0000006469
623.4400000000,0.0000004022
623.4500000000,0.0000007222
623.4600000000,0.0000003518
623.4700000000,0.0000001687
623.4800000000,0.0000005139
623.4900000000,0.0000000000
623.5000000000,0.0000000606
623.5100000000,0.0000002184
623.5200000000,0.0000000000
623.5300000000,0.0000001613
623.5400000000,0.0000002469
623.5500000000,0.0000000400
623.5600000000,0.0000002193
623.5700000000,0.0000002140
623.5800000000,0.0000003278
623.5900000000,0.0000005882
623.6000000000,0.0000004483
623.6100000000,0.0000004930
623.6200000000,0.0000009467
623.6300000000,0.0000011630
623.6400000000,0.0000012470
623.6500000000,0.0000013830
623.6600000000,0.0000012460
623.6700000000,0.0000016160
623.6800000000,0.0000018810
623.6900000000,0.0000018670
623.7000000000,0.0000021580
623.7100000000,0.0000021540
623.7200000000,0.0000017150
623.7300000000,0.0000012970
623.7400000000,0.0000007821
623.7500000000,0.0000005784
623.7600000000,0.0000002478
623.7700000000,0.0000004070
623.7800000000,0.0000002368
623.7900000000,0.0000002426
623.8000000000,0.0000000200
623.8100000000,0.0000003124
623.8200000000,0.0000002980
623.8300000000,0.0000000000
623.8400000000,0.0000000000
623.8500000000,0.0000000000
623.8600000000,0.0000001198
623.8700000000,0.0000000000
623.8800000000,0.0000000000
623.8900000000,0.0000000679
623.9000000000,0.0000000903
623.9100000000,0.0000000457
623.9200000000,0.0000001194
623.9300000000,0.0000000358
623.9400000000,0.0000000000
623.9500000000,0.0000000000
623.9600000000,0.0000000000
623.9700000000,0.0000000000
623.9800000000,0.0000000000
623.9900000000,0.0000000000
624.0000000000,0.0000000316
624.0100000000,0.0000000520
624.0200000000,0.0000000016
624.0300000000,0.0000000000
624.0400000000,0.0000000000
624.0500000000,0.0000002409
624.0600000000,0.0000000661
624.0700000000,0.0000000000
624.0800000000,0.0000000000
624.0900000000,0.0000000131
624.1000000000,0.0000000000
624.1100000000,0.0000000000
624.1200000000,0.0000000000
624.1300000000,0.0000000000
624.1400000000,0.0000000572
624.1500000000,0.0000000000
624.1600000000,0.0000002379
624.1700000000,0.0000000000
624.1800000000,0.0000000000
624.1900000000,0.0000000000
624.2000000000,0.0000001369
624.2100000000,0.0000000000
624.2200000000,0.0000000000
624.2300000000,0.0000000000
624.2400000000,0.0000000000
624.2500000000,0.0000000000
624.2600000000,0.0000000134
624.2700000000,0.0000000000
624.2800000000,0.0000000431
624.2900000000,0.0000000000
624.3000000000,0.0000000000
624.3100000000,0.0000000000
624.3200000000,0.0000000285
624.3300000000,0.0000000000
624.3400000000,0.0000000000
624.3500000000,0.0000000000
624.3600000000,0.0000000000
624.3700000000,0.0000000000
624.3800000000,0.0000000000
624.3900000000,0.0000000840
624.4000000000,0.0000000000
624.4100000000,0.0000000000
624.4200000000,0.0000000000
624.4300000000,0.0000001117
624.4400000000,0.0000000891
624.4500000000,0.0000000000
624.4600000000,0.0000000000
624.4700000000,0.0000000000
624.4800000000,0.0000000000
624.4900000000,0.0000000000
624.5000000000,0.0000001256
624.5100000000,0.0000000000
624.5200000000,0.0000000000
624.5300000000,0.0000000801
624.5400000000,0.0000000000
624.5500000000,0.0000000000
624.5600000000,0.0000000192
624.5700000000,0.0000000359
624.5800000000,0.0000000000
624.5900000000,0.0000000000
624.6000000000,0.0000000000
624.6100000000,0.0000000000
624.6200000000,0.0000000227
624.6300000000,0.0000000813
624.6400000000,0.0000000398
624.6500000000,0.0000000000
624.6600000000,0.0000000000
624.6700000000,0.0000001034
624.6800000000,0.0000000000
624.6900000000,0.0000000000
624.7000000000,0.0000000000
624.7100000000,0.0000000000
624.7200000000,0.0000001560
624.7300000000,0.0000000177
624.7400000000,0.0000000000
624.7500000000,0.0000000024
624.7600000000,0.0000000248
624.7700000000,0.0000000000
624.7800000000,0.0000000000
624.7900000000,0.0000000000
624.8000000000,0.0000000000
624.8100000000,0.0000000000
624.8200000000,0.0000000000
624.8300000000,0.0000000240
624.8400000000,0.0000000000
624.8500000000,0.0000000000
624.8600000000,0.0000000000
624.8700000000,0.0000000000
624.8800000000,0.0000000000
624.8900000000,0.0000000000
624.9000000000,0.0000000000
624.9100000000,0.0000000000
624.9200000000,0.0000000000
624.9300000000,0.0000000000
624.9400000000,0.0000002005
624.9500000000,0.0000000000
624.9600000000,0.0000000000
624.9700000000,0.0000000000
624.9800000000,0.0000000000
624.9900000000,0.0000000000
625.0000000000,0.0000000000
625.0100000000,0.0000000000
625.0200000000,0.0000000000
625.0300000000,0.0000000000
625.0400000000,0.0000000000
625.0500000000,0.0000000000
625.0600000000,0.0000000000
625.0700000000,0.0000000000
625.0800000000,0.0000000000
625.0900000000,0.0000000000
625.1000000000,0.0000000000
625.1100000000,0.0000000000
625.1200000000,0.0000000000
625.1300000000,0.0000000000
625.1400000000,0.0000000000
625.1500000000,0.0000000293
625.1600000000,0.0000000000
625.1700000000,0.0000000000
625.1800000000,0.0000000000
625.1900000000,0.0000000000
625.2000000000,0.0000000878
625.2100000000,0.0000000000
625.2200000000,0.0000000000
625.2300000000,0.0000000000
625.2400000000,0.0000000000
625.2500000000,0.0000000000
625.2600000000,0.0000000993
625.2700000000,0.0000000000
625.2800000000,0.0000000000
625.2900000000,0.0000000000
625.3000000000,0.0000000000
625.3100000000,0.0000000000
625.3200000000,0.0000000000
625.3300000000,0.0000000000
625.3400000000,0.0000000055
625.3500000000,0.0000000000
625.3600000000,0.0000000120
625.3700000000,0.0000000000
625.3800000000,0.0000000000
625.3900000000,0.0000000000
625.4000000000,0.0000000000
625.4100000000,0.0000000000
625.4200000000,0.0000000000
625.4300000000,0.0000000000
625.4400000000,0.0000000000
625.4500000000,0.0000000000
625.4600000000,0.0000001598
625.4700000000,0.0000000000
625.4800000000,0.0000000805
625.4900000000,0.0000001716
625.5000000000,0.0000000171
625.5100000000,0.0000000000
625.5200000000,0.0000000000
625.5300000000,0.0000000000
625.5400000000,0.0000000000
625.5500000000,0.0000000702
625.5600000000,0.0000000000
625.5700000000,0.0000000421
625.5800000000,0.0000000000
625.5900000000,0.0000000000
625.6000000000,0.0000000615
625.6100000000,0.0000000000
625.6200000000,0.0000000000
625.6300000000,0.0000000000
625.6400000000,0.0000000000
625.6500000000,0.0000000000
625.6600000000,0.0000000000
625.6700000000,0.0000001192
625.6800000000,0.0000000422
625.6900000000,0.0000000000
625.7000000000,0.0000000000
625.7100000000,0.0000000000
625.7200000000,0.0000000000
625.7300000000,0.0000000000
625.7400000000,0.0000000000
625.7500000000,0.0000000000
625.7600000000,0.0000000000
625.7700000000,0.0000002690
625.7800000000,0.0000000000
625.7900000000,0.0000000000
625.8000000000,0.0000000088
625.8100000000,0.0000000000
625.8200000000,0.0000002114
625.8300000000,0.0000000000
625.8400000000,0.0000000000
625.8500000000,0.0000000000
625.8600000000,0.0000000000
625.8700000000,0.0000000000
625.8800000000,0.0000000000
625.8900000000,0.0000000024
625.9000000000,0.0000000295
625.9100000000,0.0000000310
625.9200000000,0.0000000000
625.9300000000,0.0000000000
625.9400000000,0.0000000000
625.9500000000,0.0000000000
625.9600000000,0.0000000032
625.9700000000,0.0000000334
625.9800000000,0.0000000243
625.9900000000,0.0000000430
626.0000000000,0.0000000000
626.0100000000,0.0000000000
626.0200000000,0.0000000000
626.0300000000,0.0000000588
626.0400000000,0.0000000000
626.0500000000,0.0000000000
626.0600000000,0.0000000000
626.0700000000,0.0000000000
626.0800000000,0.0000000000
626.0900000000,0.0000000759
626.1000000000,0.0000000000
626.1100000000,0.0000000000
626.1200000000,0.0000000000
626.1300000000,0.0000000000
626.1400000000,0.0000000000
626.1500000000,0.0000000000
626.1600000000,0.0000000000
626.1700000000,0.0000000000
626.1800000000,0.0000000000
626.1900000000,0.0000000000
626.2000000000,0.0000000000
626.2100000000,0.0000000000
626.2200000000,0.0000000000
626.2300000000,0.0000000000
626.2400000000,0.0000000000
626.2500000000,0.0000000000
626.2600000000,0.0000000000
626.2700000000,0.0000000000
626.2800000000,0.0000000000
626.2900000000,0.0000000000
626.3000000000,0.0000001734
626.3100000000,0.0000000000
626.3200000000,0.0000000000
626.3300000000,0.0000000605
626.3400000000,0.0000000000
626.3500000000,0.0000000000
626.3600000000,0.0000000000
626.3700000000,0.0000000000
626.3800000000,0.0000002408
626.3900000000,0.0000000000
626.4000000000,0.0000000000
626.4100000000,0.0000000000
626.4200000000,0.0000000000
626.4300000000,0.0000000000
626.4400000000,0.0000000353
626.4500000000,0.0000000000
626.4600000000,0.0000000000
626.4700000000,0.0000000000
626.4800000000,0.0000000000
626.4900000000,0.0000000000
626.5000000000,0.0000001281
626.5100000000,0.0000000000
626.5200000000,0.0000000000
626.5300000000,0.0000000157
626.5400000000,0.0000001083
626.5500000000,0.0000000000
626.5600000000,0.0000000000
626.5700000000,0.0000000000
626.5800000000,0.0000000000
626.5900000000,0.0000000000
626.6000000000,0.0000000000
626.6100000000,0.0000000000
626.6200000000,0.0000000935
626.6300000000,0.0000000000
626.6400000000,0.0000000000
626.6500000000,0.0000000000
626.6600000000,0.0000000000
626.6700000000,0.0000000000
626.6800000000,0.0000000000
626.6900000000,0.0000000000
626.7000000000,0.0000000000
626.7100000000,0.0000000405
626.7200000000,0.0000000000
626.7300000000,0.0000000000
626.7400000000,0.0000000000
626.7500000000,0.0000000000
626.7600000000,0.0000000000
626.7700000000,0.0000000000
626.7800000000,0.0000000000
626.7900000000,0.0000000000
626.8000000000,0.0000000000
626.8100000000,0.0000000000
626.8200000000,0.0000000000
626.8300000000,0.0000000081
626.8400000000,0.0000000000
626.8500000000,0.0000000000
626.8600000000,0.0000000000
626.8700000000,0.0000000000
626.8800000000,0.0000000000
626.8900000000,0.0000000000
626.9000000000,0.0000000000
626.9100000000,0.0000000000
626.9200000000,0.0000000000
626.9300000000,0.0000000048
626.9400000000,0.0000000000
626.9500000000,0.0000000869
626.9600000000,0.0000000000
626.9700000000,0.0000000000
626.9800000000,0.0000000000
626.9900000000,0.0000000000
627.0000000000,0.0000000000
627.0100000000,0.0000000994
627.0200000000,0.0000000000
627.0300000000,0.0000000241
627.0400000000,0.0000000000
627.0500000000,0.0000000000
627.0600000000,0.0000000000
627.0700000000,0.0000000000
627.0800000000,0.0000000000
627.0900000000,0.0000000000
627.1000000000,0.0000002209
627.1100000000,0.0000000000
627.1200000000,0.0000000000
627.1300000000,0.0000000000
627.1400000000,0.0000000000
627.1500000000,0.0000000000
627.1600000000,0.0000000000
627.1700000000,0.0000000000
627.1800000000,0.0000001313
627.1900000000,0.0000000078
627.2000000000,0.0000000000
627.2100000000,0.0000000000
627.2200000000,0.0000000000
627.2300000000,0.0000000000
627.2400000000,0.0000000000
627.2500000000,0.0000000000
627.2600000000,0.0000000000
627.2700000000,0.0000000000
627.2800000000,0.0000000000
627.2900000000,0.0000000000
627.3000000000,0.0000000000
627.3100000000,0.0000000000
627.3200000000,0.0000000000
627.3300000000,0.0000000000
627.3400000000,0.0000000751
627.3500000000,0.0000000000
627.3600000000,0.0000000000
627.3700000000,0.0000000144
627.3800000000,0.0000000000
627.3900000000,0.0000000000
627.4000000000,0.0000000000
627.4100000000,0.0000000660
627.4200000000,0.0000000000
627.4300000000,0.0000000063
627.4400000000,0.0000000374
627.4500000000,0.0000000927
627.4600000000,0.0000000000
627.4700000000,0.0000000000
627.4800000000,0.0000000000
627.4900000000,0.0000001322
627.5000000000,0.0000001963
627.5100000000,0.0000000000
627.5200000000,0.0000000000
627.5300000000,0.0000000000
627.5400000000,0.0000000653
627.5500000000,0.0000000000
627.5600000000,0.0000000000
627.5700000000,0.0000000000
627.5800000000,0.0000000000
627.5900000000,0.0000000000
627.6000000000,0.0000000000
627.6100000000,0.0000000312
627.6200000000,0.0000000000
627.6300000000,0.0000000000
627.6400000000,0.0000000000
627.6500000000,0.0000000000
627.6600000000,0.0000001375
627.6700000000,0.0000000004
627.6800000000,0.0000000000
627.6900000000,0.0000000000
627.7000000000,0.0000000000
627.7100000000,0.0000000000
627.7200000000,0.0000000104
627.7300000000,0.0000000000
627.7400000000,0.0000000000
627.7500000000,0.0000000000
627.7600000000,0.0000000000
627.7700000000,0.0000000000
627.7800000000,0.0000000000
627.7900000000,0.0000000000
627.8000000000,0.0000000000
627.8100000000,0.0000000000
627.8200000000,0.0000000000
627.8300000000,0.0000000000
627.8400000000,0.0000000000
627.8500000000,0.0000000000
627.8600000000,0.0000000000
627.8700000000,0.0000000000
627.8800000000,0.0000000000
627.8900000000,0.0000000000
627.9000000000,0.0000000000
627.9100000000,0.0000000018
627.9200000000,0.0000000000
627.9300000000,0.0000000000
627.9400000000,0.0000000209
627.9500000000,0.0000000000
627.9600000000,0.0000000164
627.9700000000,0.0000001046
627.9800000000,0.0000000000
627.9900000000,0.0000000000
628.0000000000,0.0000000000
628.0100000000,0.0000000000
628.0200000000,0.0000000000
628.0300000000,0.0000000000
628.0400000000,0.0000000000
628.0500000000,0.0000002461
628.0600000000,0.0000000000
628.0700000000,0.0000000000
628.0800000000,0.0000000229
628.0900000000,0.0000000000
628.1000000000,0.0000001703
628.1100000000,0.0000000000
628.1200000000,0.0000000000
628.1300000000,0.0000000000
628.1400000000,0.0000000000
628.1500000000,0.0000000000
628.1600000000,0.0000000319
628.1700000000,0.0000000000
628.1800000000,0.0000000000
628.1900000000,0.0000000000
628.2000000000,0.0000000000
628.2100000000,0.0000000000
628.2200000000,0.0000000000
628.2300000000,0.0000001630
628.2400000000,0.0000000645
628.2500000000,0.0000000000
628.2600000000,0.0000000466
628.2700000000,0.0000000000
628.2800000000,0.0000000000
628.2900000000,0.0000000000
628.3000000000,0.0000000000
628.3100000000,0.0000000000
628.3200000000,0.0000002223
628.3300000000,0.0000000000
628.3400000000,0.0000000000
628.3500000000,0.0000000000
628.3600000000,0.0000000000
628.3700000000,0.0000000000
628.3800000000,0.0000000371
628.3900000000,0.0000000000
628.4000000000,0.0000000000
628.4100000000,0.0000000000
628.4200000000,0.0000000000
628.4300000000,0.0000000000
628.4400000000,0.0000000000
628.4500000000,0.0000002429
628.4600000000,0.0000000000
628.4700000000,0.0000000000
628.4800000000,0.0000000000
628.4900000000,0.0000000000
628.5000000000,0.0000000000
628.5100000000,0.0000000000
628.5200000000,0.0000000000
628.5300000000,0.0000000000
628.5400000000,0.0000000000
628.5500000000,0.0000000000
628.5600000000,0.0000000000
628.5700000000,0.0000000000
628.5800000000,0.0000000000
628.5900000000,0.0000000000
628.6000000000,0.0000000000
628.6100000000,0.0000000000
628.6200000000,0.0000001128
628.6300000000,0.0000000000
628.6400000000,0.0000000000
628.6500000000,0.0000000000
628.6600000000,0.0000000000
628.6700000000,0.0000000000
628.6800000000,0.0000000000
628.6900000000,0.0000000000
628.7000000000,0.0000000000
628.7100000000,0.0000000000
628.7200000000,0.0000000000
628.7300000000,0.0000000000
628.7400000000,0.0000000000
628.7500000000,0.0000000000
628.7600000000,0.0000000000
628.7700000000,0.0000000000
628.7800000000,0.0000002372
628.7900000000,0.0000000000
628.8000000000,0.0000001775
628.8100000000,0.0000000000
628.8200000000,0.0000000648
628.8300000000,0.0000000000
628.8400000000,0.0000000000
628.8500000000,0.0000000000
628.8600000000,0.0000000000
628.8700000000,0.0000000000
628.8800000000,0.0000000011
628.8900000000,0.0000000000
628.9000000000,0.0000001031
628.9100000000,0.0000000000
628.9200000000,0.0000000000
628.9300000000,0.0000000000
628.9400000000,0.0000000000
628.9500000000,0.0000000000
628.9600000000,0.0000000000
628.9700000000,0.0000000000
628.9800000000,0.0000000000
628.9900000000,0.0000000000
629.0000000000,0.0000000038
629.0100000000,0.0000000000
629.0200000000,0.0000000000
629.0300000000,0.0000001566
629.0400000000,0.0000000000
629.0500000000,0.0000000000
629.0600000000,0.0000000000
629.0700000000,0.0000000000
629.0800000000,0.0000000000
629.0900000000,0.0000000000
629.1000000000,0.0000000000
629.1100000000,0.0000000000
629.1200000000,0.0000000000
629.1300000000,0.0000000000
629.1400000000,0.0000000000
629.1500000000,0.0000000000
629.1600000000,0.0000000475
629.1700000000,0.0000000000
629.1800000000,0.0000000000
629.1900000000,0.0000000000
629.2000000000,0.0000000000
629.2100000000,0.0000000092
629.2200000000,0.0000000000
629.2300000000,0.0000000000
629.2400000000,0.0000000000
629.2500000000,0.0000000000
629.2600000000,0.0000000000
629.2700000000,0.0000000000
629.2800000000,0.0000000000
629.2900000000,0.0000000728
629.3000000000,0.0000000000
629.3100000000,0.0000000609
629.3200000000,0.0000000000
629.3300000000,0.0000000000
629.3400000000,0.0000000000
629.3500000000,0.0000000494
629.3600000000,0.0000000117
629.3700000000,0.0000000000
629.3800000000,0.0000000000
629.3900000000,0.0000000000
629.4000000000,0.0000000000
629.4100000000,0.0000000000
629.4200000000,0.0000000426
629.4300000000,0.0000000000
629.4400000000,0.0000000000
629.4500000000,0.0000000172
629.4600000000,0.0000000000
629.4700000000,0.0000000391
629.4800000000,0.0000000493
629.4900000000,0.0000000000
629.5000000000,0.0000000000
629.5100000000,0.0000000000
629.5200000000,0.0000000000
629.5300000000,0.0000000000
629.5400000000,0.0000000157
629.5500000000,0.0000000000
629.5600000000,0.0000000000
629.5700000000,0.0000000000
629.5800000000,0.0000000000
629.5900000000,0.0000000000
629.6000000000,0.0000000000
629.6100000000,0.0000000153
629.6200000000,0.0000000000
629.6300000000,0.0000000098
629.6400000000,0.0000000000
629.6500000000,0.0000000037
