SPECTRAL MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.5_2_623-624,06/12/2023,09:20:31

OSA_INST,OSA_SN,OS_CTRWL,OSA_SPAN,OSA_STARTWL,OSA_ENDWL,OSA_PTS,OSA_RES,OSA_AVE,OSA_SENSMODE
YOKOGAWA AQ6370,91G312892,623.500,1.0,623.000,624.000,501,0.020,1,SENS HIGH2
Data grabbed from OSA via LDCS WL menu

Wavelength (nm), Power (kW)
623.3640000000,0.0000003083
623.3660000000,0.0000007987
623.3680000000,0.0000003332
623.3700000000,0.0000006100
623.3720000000,0.0000003820
623.3740000000,0.0000004392
623.3760000000,0.0000003756
623.3780000000,0.0000003737
623.3800000000,0.0000006454
623.3820000000,0.0000005095
623.3840000000,0.0000001418
623.3860000000,0.0000002390
623.3880000000,0.0000006180
623.3900000000,0.0000006632
623.3920000000,0.0000005882
623.3940000000,0.0000002123
623.3960000000,0.0000003977
623.3980000000,0.0000007665
623.4000000000,0.0000005344
623.4020000000,0.0000003445
623.4040000000,0.0000004104
623.4060000000,0.0000004336
623.4080000000,0.0000005425
623.4100000000,0.0000004275
623.4120000000,0.0000002715
623.4140000000,0.0000005526
623.4160000000,0.0000001875
623.4180000000,0.0000003552
623.4200000000,0.0000004276
623.4220000000,0.0000004639
623.4240000000,0.0000002549
623.4260000000,0.0000004602
623.4280000000,0.0000003328
623.4300000000,0.0000003906
623.4320000000,0.0000003919
623.4340000000,0.0000004162
623.4360000000,0.0000004894
623.4380000000,0.0000003754
623.4400000000,0.0000003016
623.4420000000,0.0000005544
623.4440000000,0.0000005232
623.4460000000,0.0000004999
623.4480000000,0.0000002711
623.4500000000,0.0000004340
623.4520000000,0.0000003847
623.4540000000,0.0000002854
623.4560000000,0.0000003217
623.4580000000,0.0000002069
623.4600000000,0.0000003301
623.4620000000,0.0000001629
623.4640000000,0.0000002315
623.4660000000,0.0000000229
623.4680000000,0.0000001115
623.4700000000,0.0000004078
623.4720000000,0.0000001627
623.4740000000,0.0000001195
623.4760000000,0.0000000000
623.4780000000,0.0000001514
623.4800000000,0.0000001875
623.4820000000,0.0000000654
623.4840000000,0.0000002845
623.4860000000,0.0000001300
623.4880000000,0.0000002832
623.4900000000,0.0000001233
623.4920000000,0.0000002427
623.4940000000,0.0000002007
623.4960000000,0.0000000000
623.4980000000,0.0000002490
623.5000000000,0.0000001954
623.5020000000,0.0000000428
623.5040000000,0.0000000165
623.5060000000,0.0000000000
623.5080000000,0.0000001163
623.5100000000,0.0000002137
623.5120000000,0.0000001830
623.5140000000,0.0000002213
623.5160000000,0.0000003151
623.5180000000,0.0000002060
623.5200000000,0.0000005270
623.5220000000,0.0000001456
623.5240000000,0.0000000000
623.5260000000,0.0000003695
623.5280000000,0.0000001306
623.5300000000,0.0000000655
623.5320000000,0.0000000000
623.5340000000,0.0000000306
623.5360000000,0.0000000592
623.5380000000,0.0000001180
623.5400000000,0.0000003214
623.5420000000,0.0000001068
623.5440000000,0.0000001017
623.5460000000,0.0000002249
623.5480000000,0.0000001328
623.5500000000,0.0000000621
623.5520000000,0.0000000000
623.5540000000,0.0000001905
623.5560000000,0.0000001182
623.5580000000,0.0000002215
623.5600000000,0.0000003035
623.5620000000,0.0000002923
623.5640000000,0.0000002799
623.5660000000,0.0000004039
623.5680000000,0.0000002465
623.5700000000,0.0000003345
623.5720000000,0.0000002012
623.5740000000,0.0000003981
623.5760000000,0.0000003046
623.5780000000,0.0000001048
623.5800000000,0.0000004962
623.5820000000,0.0000000167
623.5840000000,0.0000001350
623.5860000000,0.0000003026
623.5880000000,0.0000004763
623.5900000000,0.0000003626
623.5920000000,0.0000002967
623.5940000000,0.0000001158
623.5960000000,0.0000004580
623.5980000000,0.0000005239
623.6000000000,0.0000005776
623.6020000000,0.0000003431
623.6040000000,0.0000005594
623.6060000000,0.0000003623
623.6080000000,0.0000004106
623.6100000000,0.0000006978
623.6120000000,0.0000006856
623.6140000000,0.0000007534
623.6160000000,0.0000008674
623.6180000000,0.0000003536
623.6200000000,0.0000007883
623.6220000000,0.0000006747
623.6240000000,0.0000008436
623.6260000000,0.0000007756
623.6280000000,0.0000010240
623.6300000000,0.0000008142
623.6320000000,0.0000009457
623.6340000000,0.0000013120
623.6360000000,0.0000012660
623.6380000000,0.0000010000
623.6400000000,0.0000010800
623.6420000000,0.0000009787
623.6440000000,0.0000012120
623.6460000000,0.0000010250
623.6480000000,0.0000013780
623.6500000000,0.0000013710
623.6520000000,0.0000012100
623.6540000000,0.0000012770
623.6560000000,0.0000015000
623.6580000000,0.0000012060
623.6600000000,0.0000011130
623.6620000000,0.0000013590
623.6640000000,0.0000012330
623.6660000000,0.0000011220
623.6680000000,0.0000011970
623.6700000000,0.0000016050
623.6720000000,0.0000012290
623.6740000000,0.0000014090
623.6760000000,0.0000014270
623.6780000000,0.0000014610
623.6800000000,0.0000017580
623.6820000000,0.0000016600
623.6840000000,0.0000015600
623.6860000000,0.0000017060
623.6880000000,0.0000016580
623.6900000000,0.0000018500
623.6920000000,0.0000017820
623.6940000000,0.0000019050
623.6960000000,0.0000016850
623.6980000000,0.0000016080
623.7000000000,0.0000020500
623.7020000000,0.0000019090
623.7040000000,0.0000019400
623.7060000000,0.0000018060
623.7080000000,0.0000020620
623.7100000000,0.0000017340
623.7120000000,0.0000013440
623.7140000000,0.0000015960
623.7160000000,0.0000016280
623.7180000000,0.0000016380
623.7200000000,0.0000015100
623.7220000000,0.0000012820
623.7240000000,0.0000012500
623.7260000000,0.0000012310
623.7280000000,0.0000010180
623.7300000000,0.0000011830
623.7320000000,0.0000005358
623.7340000000,0.0000009955
623.7360000000,0.0000006258
623.7380000000,0.0000005962
623.7400000000,0.0000007989
623.7420000000,0.0000008160
623.7440000000,0.0000003931
623.7460000000,0.0000004021
623.7480000000,0.0000004796
623.7500000000,0.0000005862
623.7520000000,0.0000003705
623.7540000000,0.0000004348
623.7560000000,0.0000003295
623.7580000000,0.0000002484
623.7600000000,0.0000003831
623.7620000000,0.0000004728
623.7640000000,0.0000003585
623.7660000000,0.0000001737
623.7680000000,0.0000001166
623.7700000000,0.0000002954
623.7720000000,0.0000000777
623.7740000000,0.0000002689
623.7760000000,0.0000002087
623.7780000000,0.0000001807
623.7800000000,0.0000001388
623.7820000000,0.0000000216
623.7840000000,0.0000000157
623.7860000000,0.0000001348
623.7880000000,0.0000000000
623.7900000000,0.0000003159
623.7920000000,0.0000000354
623.7940000000,0.0000002089
623.7960000000,0.0000001610
623.7980000000,0.0000000000
623.8000000000,0.0000001385
623.8020000000,0.0000002248
623.8040000000,0.0000000000
623.8060000000,0.0000000000
623.8080000000,0.0000002592
623.8100000000,0.0000000000
623.8120000000,0.0000000000
623.8140000000,0.0000000741
623.8160000000,0.0000000000
623.8180000000,0.0000000174
623.8200000000,0.0000000000
623.8220000000,0.0000000000
623.8240000000,0.0000001279
623.8260000000,0.0000000000
623.8280000000,0.0000002747
623.8300000000,0.0000000000
623.8320000000,0.0000001739
623.8340000000,0.0000000000
623.8360000000,0.0000000000
623.8380000000,0.0000000000
623.8400000000,0.0000000000
623.8420000000,0.0000000000
623.8440000000,0.0000000567
623.8460000000,0.0000001844
623.8480000000,0.0000001302
623.8500000000,0.0000000000
623.8520000000,0.0000000000
623.8540000000,0.0000000460
623.8560000000,0.0000000958
623.8580000000,0.0000000732
623.8600000000,0.0000000000
623.8620000000,0.0000000000
623.8640000000,0.0000000000
623.8660000000,0.0000000857
623.8680000000,0.0000001459
623.8700000000,0.0000000000
623.8720000000,0.0000000819
623.8740000000,0.0000000000
623.8760000000,0.0000000367
623.8780000000,0.0000001036
623.8800000000,0.0000003524
623.8820000000,0.0000000000
623.8840000000,0.0000000518
623.8860000000,0.0000000000
623.8880000000,0.0000000000
623.8900000000,0.0000000000
623.8920000000,0.0000002176
623.8940000000,0.0000001816
623.8960000000,0.0000000380
623.8980000000,0.0000000000
623.9000000000,0.0000000000
623.9020000000,0.0000000000
623.9040000000,0.0000001712
623.9060000000,0.0000000000
623.9080000000,0.0000001151
623.9100000000,0.0000000729
623.9120000000,0.0000001734
623.9140000000,0.0000000000
623.9160000000,0.0000001019
623.9180000000,0.0000001745
623.9200000000,0.0000000264
623.9220000000,0.0000000677
623.9240000000,0.0000000000
623.9260000000,0.0000000000
623.9280000000,0.0000000000
623.9300000000,0.0000000007
623.9320000000,0.0000000000
623.9340000000,0.0000000000
623.9360000000,0.0000001629
623.9380000000,0.0000000988
623.9400000000,0.0000000000
623.9420000000,0.0000000381
623.9440000000,0.0000000000
623.9460000000,0.0000000000
623.9480000000,0.0000000000
623.9500000000,0.0000000000
623.9520000000,0.0000000010
623.9540000000,0.0000000002
623.9560000000,0.0000000000
623.9580000000,0.0000000000
623.9600000000,0.0000000000
623.9620000000,0.0000000000
623.9640000000,0.0000001126
623.9660000000,0.0000001878
623.9680000000,0.0000000000
623.9700000000,0.0000000000
623.9720000000,0.0000000000
623.9740000000,0.0000000000
623.9760000000,0.0000001831
623.9780000000,0.0000000279
623.9800000000,0.0000000210
623.9820000000,0.0000000000
623.9840000000,0.0000000000
623.9860000000,0.0000000924
623.9880000000,0.0000000000
623.9900000000,0.0000000528
623.9920000000,0.0000000000
623.9940000000,0.0000001074
623.9960000000,0.0000000445
623.9980000000,0.0000000000
624.0000000000,0.0000000000
